COMPANY_CODE;RECEIVE_NUMBER;RECEIVE_DATE;ORDER_LAYOUT_TYPE;TOTAL_GROSS_AMOUNT;TOTAL_DISCOUNT_AMOUNT;TOTAL_NET_AMOUNT;TOTAL_TAX_AMOUNT;PACKING_POSTING_AMOUNT;PACKING_POSTING_TAX_AMOUNT;TOTAL_INVOICE_AMOUNT;TOTAL_DETAIL_LINE_COUNT
AB31;11451188;20230530;RX;1400.00;0.00;1400.00;0.00;0.00;0.00;0.00;2
AB31;24979160;20230530;RX;20300.00;6332.00;13968.00;0.00;0.00;0.00;0.00;2
AB37;24979161;20230530;RX;22400.00;0.00;22400.00;0.00;0.00;0.00;0.00;2
AB31;11451189;20230530;RX;3800.00;0.00;3800.00;0.00;0.00;0.00;0.00;2
AB37;11451190;20230530;RX;5700.00;0.00;5700.00;0.00;0.00;0.00;0.00;2
AB31;11451191;20230530;RX;36010.00;36010.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24979162;20230530;RX;1200.00;0.00;1200.00;0.00;0.00;0.00;0.00;2
AB31;11451192;20230530;RX;1600.00;0.00;1600.00;0.00;0.00;0.00;0.00;2
AB31;24979163;20230530;RX;8800.00;0.00;8800.00;0.00;0.00;0.00;0.00;2
AB31;11451193;20230530;RX;810.00;810.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24979164;20230530;RX;6308.00;0.00;6308.00;0.00;0.00;0.00;0.00;2
AB31;24979165;20230530;RX;992.00;0.00;992.00;0.00;0.00;0.00;0.00;2
AB31;24979166;20230530;RX;992.00;0.00;992.00;0.00;0.00;0.00;0.00;2
AB31;24979167;20230530;RX;5000.00;0.00;5000.00;0.00;0.00;0.00;0.00;2
AB31;11451194;20230530;RX;1400.00;0.00;1400.00;0.00;0.00;0.00;0.00;2
AB31;24979168;20230530;RX;9600.00;0.00;9600.00;0.00;0.00;0.00;0.00;2
AB31;11451195;20230530;RX;9800.00;0.00;9800.00;0.00;0.00;0.00;0.00;2
AB31;24979154;20230530;ST;13000.00;4550.00;8450.00;0.00;0.00;0.00;8450.00;2
AB31;24979515;20230530;RX;5800.00;0.00;5800.00;0.00;0.00;0.00;0.00;2
AB31;11451339;20230530;RX;1350.00;0.00;1350.00;0.00;0.00;0.00;0.00;2
AB31;24979517;20230530;RX;6455.00;0.00;6455.00;0.00;0.00;0.00;0.00;2
AB37;24979518;20230530;RX;21200.00;6876.00;14324.00;0.00;0.00;0.00;0.00;2
AB31;24979519;20230530;RX;8400.00;2036.00;6364.00;0.00;0.00;0.00;0.00;2
AB37;24979520;20230530;RX;3000.00;0.00;3000.00;0.00;0.00;0.00;0.00;2
AB31;24979521;20230530;RX;3110.00;0.00;3110.00;0.00;0.00;0.00;0.00;2
AB37;11451341;20230530;RX;7200.00;2320.00;4880.00;0.00;0.00;0.00;0.00;2
AB31;11451342;20230530;RX;6090.00;0.00;6090.00;0.00;0.00;0.00;0.00;2
AB37;11451343;20230530;RX;7200.00;2320.00;4880.00;0.00;0.00;0.00;0.00;2
AB31;24979523;20230530;RX;15200.00;0.00;15200.00;0.00;0.00;0.00;0.00;2
AB31;24979524;20230530;RX;1082.00;0.00;1082.00;0.00;0.00;0.00;0.00;2
AB31;24979525;20230530;RX;11000.00;670.00;10330.00;0.00;0.00;0.00;0.00;2
AB37;11451344;20230530;RX;7400.00;0.00;7400.00;0.00;0.00;0.00;0.00;2
AB31;24979526;20230530;RX;12800.00;0.00;12800.00;0.00;0.00;0.00;0.00;2
AB31;24979527;20230530;RX;9450.00;0.00;9450.00;0.00;0.00;0.00;0.00;2
AB31;24979528;20230530;RX;4102.00;0.00;4102.00;0.00;0.00;0.00;0.00;2
AB31;24979529;20230530;RX;4200.00;0.00;4200.00;0.00;0.00;0.00;0.00;2
AB31;11451345;20230530;RX;6090.00;0.00;6090.00;0.00;0.00;0.00;0.00;2
AB31;24979530;20230530;RX;5400.00;0.00;5400.00;0.00;0.00;0.00;0.00;2
AB31;24979531;20230530;RX;5400.00;0.00;5400.00;0.00;0.00;0.00;0.00;2
AB31;24979532;20230530;RX;19000.00;0.00;19000.00;0.00;0.00;0.00;0.00;2
AB31;24979533;20230530;RX;4504.00;0.00;4504.00;0.00;0.00;0.00;0.00;2
AB31;24979535;20230530;RX;26500.00;7020.00;19480.00;0.00;0.00;0.00;0.00;2
AB31;24979539;20230530;RX;5400.00;0.00;5400.00;0.00;0.00;0.00;0.00;2
AB31;24979540;20230530;RX;5400.00;0.00;5400.00;0.00;0.00;0.00;0.00;2
AB31;24979541;20230530;RX;5400.00;0.00;5400.00;0.00;0.00;0.00;0.00;2
AB31;24979542;20230530;RX;2600.00;0.00;2600.00;0.00;0.00;0.00;0.00;2
AB31;24979544;20230530;RX;840.00;0.00;840.00;0.00;0.00;0.00;0.00;2
AB31;24979545;20230530;RX;2450.00;0.00;2450.00;0.00;0.00;0.00;0.00;2
AB31;24979546;20230530;RX;2702.00;0.00;2702.00;0.00;0.00;0.00;0.00;2
AB31;24979516;20230530;ST;580.00;0.00;580.00;0.00;0.00;0.00;580.00;2
AB31;11451340;20230530;ST;3720.00;0.00;3720.00;0.00;0.00;0.00;3720.00;2
AB31;24979522;20230530;ST;450.00;0.00;450.00;0.00;0.00;0.00;450.00;2
AB31;24979534;20230530;ST;680.00;0.00;680.00;0.00;0.00;0.00;680.00;2
AB31;24979536;20230530;ST;420.00;0.00;420.00;0.00;0.00;0.00;420.00;2
AB31;24979537;20230530;ST;420.00;0.00;420.00;0.00;0.00;0.00;420.00;2
AB31;24979538;20230530;ST;420.00;0.00;420.00;0.00;0.00;0.00;420.00;2
AB31;24979543;20230530;ST;420.00;0.00;420.00;0.00;0.00;0.00;420.00;2
AB31;11451903;20230530;RX;1200.00;1200.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24980987;20230530;RX;6600.00;1320.00;5280.00;0.00;0.00;0.00;0.00;2
AB31;24980967;20230530;RX;2700.00;0.00;2700.00;0.00;0.00;0.00;0.00;2
AB31;24980968;20230530;RX;16100.00;2642.00;13458.00;0.00;0.00;0.00;0.00;2
AB31;11451900;20230530;RX;3800.00;0.00;3800.00;0.00;0.00;0.00;0.00;2
AB31;24980969;20230530;RX;1100.00;0.00;1100.00;0.00;0.00;0.00;0.00;2
AB31;24980970;20230530;RX;11600.00;0.00;11600.00;0.00;0.00;0.00;0.00;2
AB31;11451901;20230530;RX;1200.00;1200.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24980971;20230530;RX;1100.00;0.00;1100.00;0.00;0.00;0.00;0.00;2
AB31;24980972;20230530;RX;1140.00;0.00;1140.00;0.00;0.00;0.00;0.00;2
AB31;11451902;20230530;RX;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24980973;20230530;RX;1140.00;0.00;1140.00;0.00;0.00;0.00;0.00;2
AB31;24980974;20230530;RX;1200.00;1200.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24980975;20230530;RX;8400.00;0.00;8400.00;0.00;0.00;0.00;0.00;2
AB31;24980976;20230530;RX;5060.00;0.00;5060.00;0.00;0.00;0.00;0.00;2
AB31;24980977;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24980978;20230530;RX;11200.00;0.00;11200.00;0.00;0.00;0.00;0.00;2
AB31;24980979;20230530;RX;5362.00;0.00;5362.00;0.00;0.00;0.00;0.00;2
AB31;24980980;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24980981;20230530;RX;2140.00;0.00;2140.00;0.00;0.00;0.00;0.00;2
AB31;24980982;20230530;RX;2150.00;0.00;2150.00;0.00;0.00;0.00;0.00;2
AB31;24980983;20230530;RX;2550.00;0.00;2550.00;0.00;0.00;0.00;0.00;2
AB31;24980984;20230530;RX;17400.00;0.00;17400.00;0.00;0.00;0.00;0.00;2
AB31;24980985;20230530;RX;7502.00;0.00;7502.00;0.00;0.00;0.00;0.00;2
AB31;24980986;20230530;RX;5520.00;0.00;5520.00;0.00;0.00;0.00;0.00;2
AB31;24979882;20230530;RX;7730.00;0.00;7730.00;0.00;0.00;0.00;0.00;2
AB37;24979883;20230530;RX;3514.00;0.00;3514.00;0.00;0.00;0.00;0.00;2
AB31;24979884;20230530;RX;1082.00;0.00;1082.00;0.00;0.00;0.00;0.00;2
AB31;11451451;20230530;RX;4760.00;0.00;4760.00;0.00;0.00;0.00;0.00;2
AB37;24979885;20230530;RX;25800.00;0.00;25800.00;0.00;0.00;0.00;0.00;2
AB31;24979886;20230530;RX;17890.00;0.00;17890.00;0.00;0.00;0.00;0.00;2
AB37;24979887;20230530;RX;8500.00;0.00;8500.00;0.00;0.00;0.00;0.00;2
AB31;24979888;20230530;RX;4120.00;0.00;4120.00;0.00;0.00;0.00;0.00;2
AB31;24979889;20230530;RX;21900.00;9974.00;11926.00;0.00;0.00;0.00;0.00;2
AB31;24979890;20230530;RX;29100.00;0.00;29100.00;0.00;0.00;0.00;0.00;2
AB31;11451452;20230530;RX;1800.00;400.00;1400.00;0.00;0.00;0.00;0.00;2
AB31;11451453;20230530;RX;1440.00;0.00;1440.00;0.00;0.00;0.00;0.00;2
AB31;24979891;20230530;RX;11400.00;0.00;11400.00;0.00;0.00;0.00;0.00;2
AB31;24979892;20230530;RX;29300.00;3476.00;25824.00;0.00;0.00;0.00;0.00;2
AB31;11451454;20230530;RX;3410.00;0.00;3410.00;0.00;0.00;0.00;0.00;2
AB31;24979893;20230530;RX;7502.00;0.00;7502.00;0.00;0.00;0.00;0.00;2
AB31;24979894;20230530;RX;1200.00;0.00;1200.00;0.00;0.00;0.00;0.00;2
AB31;24979895;20230530;RX;2400.00;0.00;2400.00;0.00;0.00;0.00;0.00;2
AB31;24979896;20230530;RX;4900.00;0.00;4900.00;0.00;0.00;0.00;0.00;2
AB37;24979897;20230530;RX;9800.00;0.00;9800.00;0.00;0.00;0.00;0.00;2
AB31;11451459;20230530;RX;9410.00;0.00;9410.00;0.00;0.00;0.00;0.00;2
AB37;24979898;20230530;RX;25600.00;0.00;25600.00;0.00;0.00;0.00;0.00;2
AB31;24979899;20230530;RX;4400.00;1140.00;3260.00;0.00;0.00;0.00;0.00;2
AB31;24979900;20230530;RX;8800.00;0.00;8800.00;0.00;0.00;0.00;0.00;2
AB31;24979901;20230530;RX;5020.00;0.00;5020.00;0.00;0.00;0.00;0.00;2
AB31;11451464;20230530;RX;1400.00;0.00;1400.00;0.00;0.00;0.00;0.00;2
AB31;11451465;20230530;RX;3858.00;0.00;3858.00;0.00;0.00;0.00;0.00;2
AB31;24979903;20230530;RX;1200.00;0.00;1200.00;0.00;0.00;0.00;0.00;2
AB31;24979904;20230530;RX;23500.00;8702.00;14798.00;0.00;0.00;0.00;0.00;2
AB31;11451466;20230530;RX;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2
AB31;11451467;20230530;RX;2220.00;1044.00;1176.00;0.00;0.00;0.00;0.00;2
AB37;24979905;20230530;RX;8734.00;0.00;8734.00;0.00;0.00;0.00;0.00;2
AB31;11451468;20230530;RX;1400.00;0.00;1400.00;0.00;0.00;0.00;0.00;2
AB31;11451469;20230530;RX;19050.00;0.00;19050.00;0.00;0.00;0.00;0.00;2
AB31;24979906;20230530;RX;2300.00;0.00;2300.00;0.00;0.00;0.00;0.00;2
AB31;24979907;20230530;RX;20000.00;0.00;20000.00;0.00;0.00;0.00;0.00;2
AB31;24979908;20230530;RX;3600.00;0.00;3600.00;0.00;0.00;0.00;0.00;2
AB31;24979909;20230530;RX;2934.00;0.00;2934.00;0.00;0.00;0.00;0.00;2
AB31;11451455;20230530;ST;2380.00;0.00;2380.00;0.00;0.00;0.00;2380.00;5
AB31;11451456;20230530;ST;22000.00;18260.00;3740.00;0.00;0.00;0.00;3740.00;5
AB31;11451457;20230530;ST;16000.00;13280.00;2720.00;0.00;0.00;0.00;2720.00;5
AB31;11451458;20230530;ST;2000.00;1660.00;340.00;0.00;0.00;0.00;340.00;1
AB31;11451460;20230530;ST;10000.00;8300.00;1700.00;0.00;0.00;0.00;1700.00;5
AB31;11451461;20230530;ST;10000.00;8300.00;1700.00;0.00;0.00;0.00;1700.00;2
AB31;11451462;20230530;ST;20300.00;8120.00;12180.00;0.00;0.00;0.00;12180.00;4
AB31;11451463;20230530;ST;3000.00;1500.00;1500.00;0.00;0.00;0.00;1500.00;4
AB31;24979902;20230530;ST;580.00;0.00;580.00;0.00;0.00;0.00;580.00;2
AB31;24981216;20230530;RX;3070.00;0.00;3070.00;0.00;0.00;0.00;0.00;2
AB31;24981217;20230530;RX;5060.00;0.00;5060.00;0.00;0.00;0.00;0.00;2
AB31;24981218;20230530;RX;2400.00;0.00;2400.00;0.00;0.00;0.00;0.00;2
AB31;24981219;20230530;RX;4902.00;0.00;4902.00;0.00;0.00;0.00;0.00;2
AB31;24981220;20230530;RX;1220.00;0.00;1220.00;0.00;0.00;0.00;0.00;2
AB31;24981221;20230530;RX;4102.00;0.00;4102.00;0.00;0.00;0.00;0.00;2
